id,embedding_model,question,reference_answer,doc_ids,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,answer,is_acceptable
q1,semantic,آبخور اسکله‌های «بندر بزرگ خلیج فارس» بین چند متر اعلام شد؟,بین ۳۰ تا ۴۰ متر,[205120],"[66704, 193981, 92336, 324524, 235045]","[44967, 5016, 38742, 17324, 33708]","[0.7057710886001587, 0.7026494741439819, 0.6962051391601562, 0.6817774772644043, 0.6798283457756042]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q1,lexical,آبخور اسکله‌های «بندر بزرگ خلیج فارس» بین چند متر اعلام شد؟,بین ۳۰ تا ۴۰ متر,[205120],"[260634, 235045, 197211, 235045, 235045]","[69722, 33709, 63846, 33706, 33710]","[0.7080084681510925, 0.5838674306869507, 0.5532967448234558, 0.5517021417617798, 0.5467056035995483]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q1,hybrid,آبخور اسکله‌های «بندر بزرگ خلیج فارس» بین چند متر اعلام شد؟,بین ۳۰ تا ۴۰ متر,[205120],"[260634, 235045, 92336, 238909, 60239]","[69722, 33708, 38742, 18512, 41051]","[0.6568974256515503, 0.5845551490783691, 0.5767388343811035, 0.5759909152984619, 0.5692123174667358]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q4,semantic,آزمون مقیاس‌های تکاملی شیرخواران (Bayley) عملکرد تکاملی کودکان چه بازه سنی را بررسی می‌کند؟,کودکان ۱ تا ۴۲ ماهه,[300712],"[300712, 300712, 300712, 156840, 141053]","[39988, 39986, 39987, 42810, 51312]","[0.7965239882469177, 0.6681966185569763, 0.6175273656845093, 0.5988912582397461, 0.547889232635498]",آزمون مقیاس‌های تکاملی شیرخواران (Bayley) عملکرد تکاملی کودکان یک تا ۴۲ ماهه را بررسی می‌کند.,True
q4,lexical,آزمون مقیاس‌های تکاملی شیرخواران (Bayley) عملکرد تکاملی کودکان چه بازه سنی را بررسی می‌کند؟,کودکان ۱ تا ۴۲ ماهه,[300712],"[335724, 100882, 265913, 79315, 213752]","[32440, 39293, 70957, 46426, 40624]","[0.6315245628356934, 0.6089589595794678, 0.6008631587028503, 0.5981582403182983, 0.5859363675117493]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q4,hybrid,آزمون مقیاس‌های تکاملی شیرخواران (Bayley) عملکرد تکاملی کودکان چه بازه سنی را بررسی می‌کند؟,کودکان ۱ تا ۴۲ ماهه,[300712],"[300712, 300712, 300712, 117797, 2978]","[39988, 39987, 39986, 64113, 7577]","[0.6033457517623901, 0.5654352903366089, 0.4559890329837799, 0.4514468312263489, 0.4501902461051941]",آزمون مقیاس‌های تکاملی شیرخواران (Bayley) عملکرد تکاملی کودکان یک تا ۴۲ ماهه را بررسی می‌کند.,True
q6,semantic,طبق گفته مهرداد بذرپاش، همه بانک‌ها باید چه درصدی از تسهیلات خود را به بخش مسکن تخصیص دهند؟,۲۰ درصد,[230376],"[250418, 164876, 315337, 230376, 305399]","[16758, 43376, 61904, 6358, 3365]","[0.831597089767456, 0.780982255935669, 0.7788851261138916, 0.7786489129066467, 0.7721447944641113]",به طور مشخص، مهرداد بذرپاش گفته است که بانک‌ها باید ۲۰ درصدی از تسهیلات خود را به بخش مسکن تخصیص دهند. اما این توصیه برای بانک‌هایی که تراز آنها منفی است نیازمند اطاعت بانک مرکزی است.,True
q6,lexical,طبق گفته مهرداد بذرپاش، همه بانک‌ها باید چه درصدی از تسهیلات خود را به بخش مسکن تخصیص دهند؟,۲۰ درصد,[230376],"[250418, 250418, 46915, 305399, 315337]","[16757, 16758, 42072, 3365, 61905]","[0.7436548471450806, 0.7225412726402283, 0.6912131309509277, 0.6885401010513306, 0.6831492185592651]",بر اساس اطلاعاتی که در متن‌های بازیابی‌شده وجود دارد، مهرداد بذرپاش گفت که بانک‌ها باید ۲۵ درصد از تسهیلات خود را به بخش مسکن تخصیص دهند.,True
q6,hybrid,طبق گفته مهرداد بذرپاش، همه بانک‌ها باید چه درصدی از تسهیلات خود را به بخش مسکن تخصیص دهند؟,۲۰ درصد,[230376],"[250418, 305399, 230376, 164876, 315337]","[16758, 3365, 6358, 43376, 61905]","[0.7770692110061646, 0.7303423881530762, 0.7215704917907715, 0.7180737257003784, 0.708749532699585]",بر اساس اطلاعاتی که در متن‌های بازیابی‌شده وجود دارد، مهرداد بذرپاش گفت که همه بانک‌ها باید ۲۰ درصدی از تسهیلات خود را به بخش مسکن تخصیص دهند. اما این توصیه برای بانک‌هایی که تراز آنها منفی است نیازمند اطلاعات بیشتری دارد.,True
q7,semantic,طبق گفته علیرضا پاکدل، حریفان مستقیم ایران برای کسب سهمیه جهانی هندبال بانوان در قهرمانی آسیا کدام تیم‌ها هستند؟,هنگ‌کنگ، تایلند و ازبکستان,[96027],"[162555, 106124, 243050, 168598, 198774]","[16106, 5509, 23167, 12953, 54289]","[0.7984889149665833, 0.7929434776306152, 0.789290189743042, 0.7823647260665894, 0.7795259356498718]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q7,lexical,طبق گفته علیرضا پاکدل، حریفان مستقیم ایران برای کسب سهمیه جهانی هندبال بانوان در قهرمانی آسیا کدام تیم‌ها هستند؟,هنگ‌کنگ، تایلند و ازبکستان,[96027],"[245017, 245017, 245017, 162555, 162555]","[28928, 28929, 28930, 16105, 16106]","[0.7646545767784119, 0.7597566843032837, 0.7564759254455566, 0.7375226020812988, 0.73468017578125]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q7,hybrid,طبق گفته علیرضا پاکدل، حریفان مستقیم ایران برای کسب سهمیه جهانی هندبال بانوان در قهرمانی آسیا کدام تیم‌ها هستند؟,هنگ‌کنگ، تایلند و ازبکستان,[96027],"[162555, 162555, 245017, 245017, 245017]","[16106, 16105, 28929, 28928, 28930]","[0.7665845155715942, 0.7547943592071533, 0.750422477722168, 0.7341261506080627, 0.7199836373329163]",بر اساس اطلاعات موجود در متن‌های بازیابی‌شده، علیرضا پاکدل نمی‌گوید کدام تیم‌ها مستقیماً حریفان ایران برای کسب سهمیه جهانی هندبال بانوان در قهرمانی آسیا هستند. فقط مواردی که در متن‌ها ذکر شده‌اند، این است که ایران در مسابقات قهرمانی آسیا و قهرمانی جهان در سال ۱۴۰۱ (فروردین ۱۴۰۱) به مسابقات قهرمانی جهان پیوسته و تیم ملی بانوان ایران در رقابت‌های,False
q8,semantic,در خبر دیدار وزیر خارجه ونزوئلا با امیرعبداللهیان، گفته شد در سفر آتی نیکلاس مادورو به تهران چه سندی امضا می‌شود؟,سند همکاری ۲۰ ساله دو کشور,[150137],"[271260, 271260, 271260, 150137, 150137]","[46471, 46467, 46465, 18730, 18729]","[0.7918514013290405, 0.7766599655151367, 0.7739241719245911, 0.7634797096252441, 0.7530174255371094]",در سفر نیکلاس مادورو به تهران، سند همکاری جامع بعنوان نقطه عطف در روابط دوجانبه امضا می‌شود.,True
q8,lexical,در خبر دیدار وزیر خارجه ونزوئلا با امیرعبداللهیان، گفته شد در سفر آتی نیکلاس مادورو به تهران چه سندی امضا می‌شود؟,سند همکاری ۲۰ ساله دو کشور,[150137],"[45458, 165968, 26225, 45458, 150137]","[70911, 41101, 33655, 70910, 18732]","[0.7448018789291382, 0.7351202964782715, 0.731993556022644, 0.7190182209014893, 0.688663125038147]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
